"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 09, 1999","1,371.20","1,370.50","1,374.80","1,345.25","36.47M","0.12%"
"Nov 07, 1999","1,369.60","1,364.70","1,382.25","1,364.70","14.70M","0.37%"
"Nov 05, 1999","1,364.55","1,336.75","1,369.65","1,336.55","42.07M","2.08%"
"Nov 04, 1999","1,336.80","1,326.85","1,339.75","1,313.60","36.10M","0.78%"
"Nov 03, 1999","1,326.40","1,332.70","1,353.55","1,303.25","51.55M","-0.44%"
"Nov 02, 1999","1,332.20","1,269.30","1,335.60","1,239.80","49.35M","4.90%"
"Nov 01, 1999","1,270.00","1,325.90","1,332.70","1,260.80","42.51M","-4.18%"
"Oct 29, 1999","1,325.45","1,367.90","1,370.80","1,296.70","54.90M","-3.09%"
"Oct 28, 1999","1,367.70","1,411.20","1,411.45","1,361.05","38.44M","-3.10%"
"Oct 27, 1999","1,411.40","1,419.10","1,440.70","1,400.75","46.64M","-0.21%"
"Oct 26, 1999","1,414.35","1,426.60","1,431.50","1,410.95","43.55M","-0.83%"
"Oct 25, 1999","1,426.20","1,449.85","1,457.20","1,410.85","50.23M","-1.63%"
"Oct 23, 1999","1,449.80","1,430.75","1,451.85","1,429.10","13.42M","1.37%"
"Oct 22, 1999","1,430.25","1,452.60","1,452.60","1,421.40","47.32M","-1.59%"
"Oct 21, 1999","1,453.35","1,478.00","1,496.45","1,448.35","57.11M","-1.64%"
"Oct 20, 1999","1,477.65","1,446.20","1,498.70","1,446.20","56.37M","2.33%"
"Oct 18, 1999","1,444.05","1,454.90","1,461.45","1,426.15","48.45M","-0.72%"
"Oct 15, 1999","1,454.55","1,505.70","1,512.00","1,448.95","33.57M","-3.36%"
"Oct 14, 1999","1,505.20","1,497.30","1,522.85","1,496.65","40.80M","0.59%"
"Oct 13, 1999","1,496.30","1,485.45","1,510.50","1,466.00","61.68M","0.84%"
"Oct 12, 1999","1,483.85","1,484.40","1,493.15","1,472.35","55.86M","-0.01%"
"Oct 11, 1999","1,484.00","1,480.80","1,504.55","1,479.10","50.44M","0.32%"
"Oct 08, 1999","1,479.25","1,470.00","1,502.65","1,462.75","55.10M","0.65%"
"Oct 07, 1999","1,469.75","1,394.35","1,475.45","1,394.35","62.42M","5.53%"
