Date,Price,Open,High,Low,Vol.,Change %
4-Sep-09,4680.40,"4,608.70","4,697.20","4,580.35",243.56M,1.89%
3-Sep-09,4593.55,"4,608.75","4,647.35","4,581.05",245.96M,-0.32%
2-Sep-09,4608.35,"4,624.00","4,650.45","4,576.60",265.75M,-0.37%
1-Sep-09,4625.35,"4,662.20","4,735.90","4,600.65",332.64M,-0.79%
31-Aug-09,4662.10,"4,730.85","4,730.85","4,635.00",355.95M,-1.48%
28-Aug-09,4732.35,"4,688.40","4,743.75","4,651.40",285.80M,0.94%
27-Aug-09,4688.20,"4,679.00","4,707.90","4,645.15",231.00M,0.16%
26-Aug-09,4680.85,"4,659.45","4,697.80","4,659.10",208.84M,0.46%
25-Aug-09,4659.35,"4,641.65","4,672.90","4,582.50",249.00M,0.36%
24-Aug-09,4642.80,"4,536.95","4,656.30","4,536.95",207.90M,2.52%
21-Aug-09,4528.80,"4,453.45","4,538.70","4,400.90",185.70M,1.69%
20-Aug-09,4453.45,"4,394.35","4,492.80","4,394.35",166.60M,1.35%
19-Aug-09,4394.10,"4,457.75","4,477.55","4,353.45",254.67M,-1.45%
18-Aug-09,4458.90,"4,389.50","4,491.45","4,372.65",265.22M,1.62%
17-Aug-09,4387.90,"4,578.80","4,578.80","4,374.60",252.33M,-4.20%
14-Aug-09,4580.05,"4,605.15","4,619.00","4,559.35",222.99M,-0.54%
13-Aug-09,4605.00,"4,458.55","4,614.15","4,458.55",253.54M,3.31%
12-Aug-09,4457.50,"4,473.80","4,473.80","4,359.40",274.15M,-0.31%
11-Aug-09,4471.35,"4,435.00","4,510.80","4,398.90",250.13M,0.76%
10-Aug-09,4437.65,"4,486.50","4,562.50","4,399.85",284.08M,-0.98%
7-Aug-09,4481.40,"4,591.90","4,591.90","4,463.95",266.87M,-2.27%
6-Aug-09,4585.50,"4,694.35","4,718.15","4,559.20",278.15M,-2.31%
5-Aug-09,4694.15,"4,680.95","4,717.20","4,629.85",244.64M,0.29%
4-Aug-09,4680.50,"4,706.25","4,731.45","4,642.60",322.87M,-0.66%
