Date,Price,Open,High,Low,Vol.,Change %
9-Jul-99,1254,"1,244.40","1,260.70","1,244.40",65.22M,0.80%
8-Jul-99,1244.05,"1,243.90","1,251.15","1,238.40",56.92M,0.03%
7-Jul-99,1243.7,"1,241.65","1,255.75","1,238.15",59.20M,0.20%
6-Jul-99,1241.25,"1,230.30","1,246.40","1,230.30",46.09M,0.89%
5-Jul-99,1230.25,"1,197.95","1,232.40","1,197.95",55.95M,2.70%
2-Jul-99,1197.85,"1,183.65","1,204.15","1,183.65",51.74M,1.24%
1-Jul-99,1183.2,"1,187.85","1,197.00","1,179.30",36.95M,-0.38%
30-Jun-99,1187.7,"1,191.45","1,193.90","1,179.65",31.86M,-0.30%
29-Jun-99,1191.3,"1,192.20","1,198.70","1,185.30",36.79M,-0.08%
28-Jun-99,1192.2,"1,177.05","1,194.90","1,177.05",31.13M,1.29%
25-Jun-99,1177,"1,181.60","1,197.00","1,174.20",44.87M,-0.36%
24-Jun-99,1181.3,"1,192.55","1,193.10","1,171.30",42.20M,-0.99%
23-Jun-99,1193.15,"1,215.95","1,228.55","1,188.65",51.13M,-1.74%
22-Jun-99,1214.3,"1,202.95","1,219.45","1,201.20",47.53M,1.00%
21-Jun-99,1202.3,"1,175.30","1,203.35","1,175.30",43.40M,2.31%
18-Jun-99,1175.15,"1,177.15","1,189.20","1,172.20",48.31M,-0.10%
17-Jun-99,1176.35,"1,148.95","1,181.90","1,148.95",55.86M,2.46%
16-Jun-99,1148.15,"1,120.35","1,152.35","1,109.70",61.56M,2.47%
15-Jun-99,1120.5,"1,127.40","1,143.30","1,113.30",48.34M,-0.57%
14-Jun-99,1126.9,"1,140.75","1,140.75","1,099.85",37.23M,-1.31%
11-Jun-99,1141.9,"1,161.80","1,162.95","1,140.25",45.66M,-1.78%
10-Jun-99,1162.6,"1,163.70","1,175.95","1,159.60",46.94M,-0.05%
9-Jun-99,1163.2,"1,180.00","1,192.05","1,159.25",50.77M,-1.34%
8-Jun-99,1178.95,"1,145.90","1,178.95","1,138.05",49.67M,1.93%
7-Jun-99,1156.65,"1,159.55","1,164.15","1,150.20",39.20M,0.14%
4-Jun-99,1155.05,"1,150.05","1,162.00","1,149.10",55.68M,1.62%
3-Jun-99,1136.65,"1,129.90","1,141.05","1,127.30",48.74M,1.02%
